movie#,title,year,synopsis,critic_score,people_score,consensus,type,genre,director,producer,writer,theater_release,streaming_release,box_office_gross($M),production_co,score_differential
128,One Hundred and One Dalmatians,1961,"In a Disney animation classic, Dalmatian Pongo is tired of his bachelor-dog life. He spies lovely Perdita and maneuvers his master, Roger, into meeting Perdita's owner, Anita. The owners fall in love and marry, keeping Pongo and Perdita together too. After Perdita gives birth to a litter of 15 puppies, Anita's old school friend Cruella De Vil wants to buy them all. Roger declines her offer, so Cruella hires the criminal Badun brothers to steal them -- so she can have a fur coat.",98.0,76.0,"With plenty of pooches and a memorable villain (Cruella De Vil), this is one of Disney's most enduring, entertaining animated films.",Animation,"kids and family, comedy, adventure, animation","Wolfgang Reitherman, Hamilton S. Luske, Clyde Geronimi",Walt Disney,,,"Aug 10, 2016",91.3,Walt Disney Productions,22.0
129,Beauty and the Beast,1991,"An arrogant young prince (Robby Benson) and his castle's servants fall under the spell of a wicked enchantress, who turns him into the hideous Beast until he learns to love and be loved in return. The spirited, headstrong village girl Belle (Paige O'Hara) enters the Beast's castle after he imprisons her father Maurice (Rex Everhart). With the help of his enchanted servants, including the matronly Mrs. Potts (Angela Lansbury), Belle begins to draw the cold-hearted Beast out of his isolation.",94.0,92.0,"Enchanting, sweepingly romantic, and featuring plenty of wonderful musical numbers, Beauty and the Beast is one of Disney's most elegant animated offerings.",Animation,"kids and family, animation, fantasy","Gary Trousdale, Kirk Wise",Don Hahn,Linda Woolverton,,"Sep 6, 2016",219.0,Walt Disney Pictures,2.0
131,Onward,2020,"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries. But when dear Mom finds out her sons are missing, she teams up with the legendary manticore to bring her beloved boys back home.",88.0,95.0,"It may suffer in comparison to Pixar's classics, but Onward makes effective use of the studio's formula -- and stands on its own merits as a funny, heartwarming, dazzlingly animated adventure.",Animation,"adventure, animation, fantasy, comedy, kids and family",Dan Scanlon,Kori Rae,"Dan Scanlon, Jason Headley, Keith Bunin","Mar 6, 2020 wide","Mar 6, 2020",60.4,"Pixar Animation Studios, Walt Disney Pictures",-7.0
132,The Nightmare Before Christmas,1993,"The film follows the misadventures of Jack Skellington, Halloweentown's beloved pumpkin king, who has become bored with the same annual routine of frightening people in the ""real world."" When Jack accidentally stumbles on Christmastown, all bright colors and warm spirits, he gets a new lease on life -- he plots to bring Christmas under his control by kidnapping Santa Claus and taking over the role. But Jack soon discovers even the best-laid plans of mice and skeleton men can go seriously awry.",95.0,91.0,The Nightmare Before Christmas is a stunningly original and visually delightful work of stop-motion animation.,Animation,"comedy, fantasy, animation, other, kids and family",Henry Selick,"Tim Burton, Denise Di Novi, Kathleen Gavin",Caroline Thompson,"Oct 29, 1993 wide","Nov 24, 2015",2.4,"Touchstone Pictures, Skellington Productions",4.0
133,Anomalisa,2015,An inspirational speaker (David Thewlis) becomes reinvigorated after meeting a lively woman (Jennifer Jason Leigh) who shakes up his mundane existence.,92.0,71.0,"Anomalisa marks another brilliant and utterly distinctive highlight in Charlie Kaufman's filmography, and a thought-provoking treat for fans of introspective cinema.",Animation,"comedy, drama, animation","Charlie Kaufman, Duke Johnson","Rosa Tran, Duke Johnson, Charlie Kaufman, Dino Stamatopoulos",Charlie Kaufman,"Mar 18, 2016 wide","Dec 19, 2016",3.4,"Starburns Industries, Snoot Entertainment",21.0
134,"Monsters, Inc.",2001,"Monsters Incorporated is the largest scare factory in the monster world, and James P. Sullivan (John Goodman) is one of its top scarers. Sullivan is a huge, intimidating monster with blue fur, large purple spots and horns. His scare assistant, best friend and roommate is Mike Wazowski (Billy Crystal), a green, opinionated, feisty little one-eyed monster. Visiting from the human world is Boo (Mary Gibbs), a tiny girl who goes where no human has ever gone before.",96.0,90.0,"Clever, funny, and delightful to look at, Monsters, Inc. delivers another resounding example of how Pixar elevated the bar for modern all-ages animation.",Animation,"comedy, fantasy, animation, kids and family, adventure",Pete Docter,Darla K. Anderson,,"Nov 2, 2001 wide","Oct 20, 2013",0.494,"Walt Disney Productions, Pixar Animation Studios",6.0
136,Fantasia,1940,"Released in 1940, represented Disney's boldest experiment to date. Bringing to life his vision of blending animated imagery with classical music. What had begun as a vehicle to enhance Mickey Mouse's career blossomed into a full-blown feature that remains unique in the history of animation.",95.0,83.0,"A landmark in animation (and a huge influence on the medium of music video), Disney's Fantasia is a relentlessly inventive blend of the classics with phantasmagorical images.",Animation,"kids and family, animation, fantasy","James Algar, Samuel Armstrong, Ford Beebe, Norman Ferguson, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield",,,,"May 5, 2017",24.8,Walt Disney Productions,12.0
138,Spirited Away,2001,"10-year-old Chihiro (Daveigh Chase) moves with her parents to a new home in the Japanese countryside. After taking a wrong turn down a wooded path, Chihiro and her parents discover an amusement park with a stall containing an assortment of food. To her surprise, Chihiro's parents begin eating and then transform into pigs. In this supernatural realm, Chihiro encounters a host of characters and endures labor in a bathhouse for spirits, awaiting a reunion with her parents.",97.0,96.0,"Spirited Away is a dazzling, enchanting, and gorgeously drawn fairy tale that will leave viewers a little more curious and fascinated by the world around them.",Animation,"animation, adventure, fantasy","Hayao Miyazaki, Kirk Wise","Donald W. Ernst, Toshio Suzuki",Hayao Miyazaki,"Sep 20, 2002 wide","Dec 19, 2019",10.0,"Walt Disney Pictures, Tokuma Shoten, Studio Ghibli",1.0
140,Song of the Sea,2014,An Irish youth (David Rawle) discovers that his mute sister is a selkie who must find her voice and free supernatural creatures from the spell of a Celtic goddess (Fionnula Flanagan).,99.0,92.0,"Song of the Sea boasts narrative depth commensurate with its visual beauty, adding up to an animated saga overflowing with family-friendly riches.",Animation,"animation, adventure, fantasy",Tomm Moore,"Tomm Moore, Ross Murray, Paul Young, Stéphan Roelants, Serge Ume, Isabelle Truc, Clément Calvet, Jeremie Fajner",Will Collins,,"Mar 16, 2015",0.85,"Cartoon Saloon, Irish Film Board",7.0
141,Tower,2016,"On Aug. 1, 1966, a sniper rode the elevator to the top floor of the University of Texas Tower and opened fire, holding the campus hostage for 96 minutes. When the gunshots were finally silenced, the toll included 16 dead, three dozen wounded, and a shaken nation left trying to understand what had happened. Archival footage is combined with rotoscopic animation in a dynamic, never-before-seen way to illustrate the action-packed untold stories of the witnesses, heroes and survivors.",99.0,89.0,Tower probes into a painful chapter of American history with sensitivity and grace -- and revisits its events from a valuable new perspective.,Animation,documentary,Keith Maitland,"Megan Gilbride, Susan Thomson",,"Oct 12, 2016 limited","Jan 11, 2017",0.0843,"Go-Valley , Texas Archive of the Moving Image, Killer Impact",10.0
142,The Lion King,1994,"This Disney animated feature follows the adventures of the young lion Simba (Jonathan Taylor Thomas), the heir of his father, Mufasa (James Earl Jones). Simba's wicked uncle, Scar (Jeremy Irons), plots to usurp Mufasa's throne by luring father and son into a stampede of wildebeests. But Simba escapes, and only Mufasa is killed. Simba returns as an adult (Matthew Broderick) to take back his homeland from Scar with the help of his friends Timon (Nathan Lane) and Pumbaa (Ernie Sabella).",93.0,93.0,"Emotionally stirring, richly drawn, and beautifully animated, The Lion King is a pride within Disney's pantheon of classic family films.",Animation,"kids and family, animation, adventure, musical","Roger Allers, Rob Minkoff",Don Hahn,"Irene Mecchi, Jonathan Roberts, Linda Woolverton","Jun 24, 1994 wide","Aug 15, 2017",422.8,Walt Disney Pictures,0.0
143,Who Framed Roger Rabbit,1988,"Down-on-his-luck private eye Eddie Valiant (Bob Hoskins) gets hired by cartoon producer R.K. Maroon (Alan Tilvern) to investigate an adultery scandal involving Jessica Rabbit (Kathleen Turner), the sultry wife of Maroon's biggest star, Roger Rabbit (Charles Fleischer). But when Marvin Acme (Stubby Kaye), Jessica's alleged paramour and the owner of Toontown, is found murdered, the villainous Judge Doom (Christopher Lloyd) vows to catch and destroy Roger.",97.0,84.0,"Who Framed Roger Rabbit is an innovative and entertaining film that features a groundbreaking mix of live action and animation, with a touching and original story to boot.",Animation,comedy,Robert Zemeckis,"Robert Watts, Frank Marshall","Jeffrey Price, Peter S. Seaman","Jun 21, 1988 wide","Dec 13, 2015",152.8,Touchstone Pictures,13.0
144,Waltz With Bashir,2008,"Israeli filmmaker Ari Folman wrote, directed and stars in this autobiographical animated film. As a 19-year-old infantry soldier in the 1982 war with Lebanon, Folman witnessed the Sabra and Shatila massacre, but realizes that he has no memory of the event. In 2006, he seeks out others who were in Beirut at the time to discuss their memories, including a psychologist specializing in post-traumatic stress disorders and the first journalist to cover the massacre.",96.0,91.0,"A wholly innovative, original, and vital history lesson, with pioneering animation, Waltz With Bashir delivers its message about the Middle East in a mesmerizing fashion.",Animation,"documentary, drama, animation, war, biography",Ari Folman,"Ari Folman, Serge Lalou, Gerhard Meixner, Roman Paul",Ari Folman,"Dec 25, 2008 limited","Apr 16, 2012",2.3,"Israel Film Fund, Télévision Suisse-Romande (TSR), Radio Télévision Belge Francophone (RTBF), Razor Film Produktion GmbH, SBS, Les Films d'Ici, Medienboard Berlin-Brandenburg, Arte France",5.0
145,How to Train Your Dragon: The Hidden World,2019,"When the sudden appearance of a female Light Fury coincides with the darkest threat their village has ever faced, Hiccup and Toothless must journey to a hidden world thought only to exist in myth. The two friends will soon discover their true destinies as dragon and rider fight together to protect everything they've grown to treasure.",90.0,86.0,"The rare trilogy capper that really works, How to Train Your Dragon: The Hidden World brings its saga to a visually dazzling and emotionally affecting conclusion.",Animation,"comedy, fantasy, animation, kids and family, adventure",Dean DeBlois,"Bradford Lewis, Bonnie Arnold",Dean DeBlois,"Feb 22, 2019 wide","Apr 30, 2019",160.8,DreamWorks Animation,4.0
146,Persepolis,2007,"Based on Satrapi's graphic novel about her life in pre and post-revolutionary Iran and then in Europe. The film traces Satrapi's growth from child to rebellious, punk-loving teenager in Iran. In the background are the growing tensions of the political climate in Iran in the 70s and 80s, with members of her liberal-leaning family detained and then executed, and the background of the disastrous Iran/Iraq war.",96.0,92.0,"Persepolis is an emotionally powerful, dramatically enthralling autobiographical gem, and the film's simple black-and-white images are effective and bold.",Animation,"drama, animation","Vincent Paronnaud, Marjane Satrapi",,"Marjane Satrapi, Vincent Paronnaud","Dec 25, 2007 limited","Apr 2, 2013",4.4,"Sofica Europacorp, 2.4.7. Films, Diaphana Films, Centre National de la Cinematographie, Fondation GAN pour le Cinéma, French Connection Animations, France 3 Cinéma, Région Ile-de-France, Kennedy/Marshall, Celluloid Dreams, Soficinéma 3, Procirep, Sony Pictures Classics",4.0
148,Yellow Submarine,1968,"The music-loving inhabitants of Pepperland are under siege by the Blue Meanies, a nasty group of music-hating creatures. The Lord Mayor of Pepperland (Dick Emery) dispatches sailor Old Fred (Lance Percival) to Liverpool, England, where he is to recruit the help of the Beatles (John Lennon, Paul McCartney, George Harrison, Ringo Starr). The sympathetic Beatles ride a yellow submarine to the occupied Pepperland, where the Blue Meanies have no chance against the Fab Four's groovy tunes.",95.0,84.0,"A joyful, phantasmagoric blend of colorful animation and the music of the Beatles, Yellow Submarine is delightful (and occasionally melancholy) family fare.",Animation,"comedy, animation, adventure, musical",George Dunning,,"Al Brodax, Roger McGough, Jack Mendelsohn, Lee Minoff, Erich Segal","Nov 13, 1968 wide","Mar 23, 2017",0.9923,"Apple Corps, Subafilms, King Features",11.0
